Hugo_Symbol,name,recon_1
CYBA,CYBA,7.3646336
GPR42,GPR42,0.34707415
IL1RN,IL1RN,6.936812
PFKM,PFKM,6.263977
KCNT2,KCNT2,4.1947994
RPA1,RPA1,7.4115124
SMTN,SMTN,5.6568494
CUL3,CUL3,6.487803
CCDC132,CCDC132,5.035037
BTBD19,BTBD19,5.1298766
ARPC5,ARPC5,7.2322736
TMEM107,TMEM107,5.534335
SBK2,SBK2,0.4655982
RP11-234B24.6,RP11-234B24.6,0.66706544
AGL,AGL,8.321935
ATP2A2,ATP2A2,7.242339
UBR7,UBR7,7.3856893
TSPYL2,TSPYL2,7.34847
FEZ1,FEZ1,7.00371
SIRT2,SIRT2,9.043563
MESDC1,MESDC1,9.399587
STX8,STX8,8.87016
VLDLR,VLDLR,5.158487
DCAF4,DCAF4,7.6206107
EIF2D,EIF2D,5.6422276
XBP1,XBP1,6.6429663
PIGL,PIGL,6.2760286
SCG3,SCG3,9.751993
MSANTD3,MSANTD3,5.3967195
WDR24,WDR24,8.36876
COL10A1,COL10A1,5.689994
PNMA6D,PNMA6D,0.31868622
LASP1,LASP1,9.044709
KIF26A,KIF26A,2.5936303
MED7,MED7,4.242338
TOMM6,TOMM6,7.352026
GANC,GANC,5.562864
PSENEN,PSENEN,6.3489313
PSRC1,PSRC1,5.6386485
GDF9,GDF9,1.2044411
PCDHB14,PCDHB14,3.952471
ZNF778,ZNF778,7.4911633
CNIH4,CNIH4,6.858096
TGM2,TGM2,7.1406407
ZFP1,ZFP1,6.3099704
CCL11,CCL11,3.1564143
TMEM74,TMEM74,10.374345
MTL5,MTL5,4.196924
ZNF788,ZNF788,7.151915
MTX1,MTX1,5.916082
ZYG11B,ZYG11B,8.27898
SDR9C7,SDR9C7,5.975763
ESAM,ESAM,6.471219
ENKUR,ENKUR,1.8713149
TTC39B,TTC39B,9.58426
RNASE13,RNASE13,7.3960366
CHRNB4,CHRNB4,4.3933105
BLCAP,BLCAP,7.2211432
CHFR,CHFR,6.875612
REM2,REM2,4.5589647
CD97,CD97,5.348353
ZNF473,ZNF473,9.943979
PLEKHG7,PLEKHG7,6.1851125
RBM4B,RBM4B,7.775129
RASAL2,RASAL2,5.772208
AFMID,AFMID,5.5023603
FAM187B,FAM187B,6.531346
FBXO27,FBXO27,4.851713
GTSCR1,GTSCR1,6.4830346
RASL10B,RASL10B,9.539088
PIP5K1B,PIP5K1B,4.694164
KIAA0100,KIAA0100,6.824534
ZNF780B,ZNF780B,4.174315
FABP2,FABP2,0.0824137
BIN1,BIN1,7.0690966
LHX2,LHX2,5.2368183
B3GALT1,B3GALT1,0.5837506
DALRD3,DALRD3,6.617811
GBP4,GBP4,6.823875
TBL1Y,TBL1Y,1.0551157
SEC16A,SEC16A,6.543649
CCL17,CCL17,4.3021927
SH2D3C,SH2D3C,4.011118
FAM3B,FAM3B,8.845379
TMOD2,TMOD2,4.128005
RPS11,RPS11,8.131789
SCAPER,SCAPER,4.3926773
FANCB,FANCB,4.283078
NTN1,NTN1,4.1359324
SIMC1,SIMC1,3.7352426
EIF4G1,EIF4G1,7.783138
PPP2R3B,PPP2R3B,7.367648
MESP2,MESP2,5.2954316
NOMO1,NOMO1,9.330192
INO80E,INO80E,8.050804
GCSAML,GCSAML,3.5216222
ECSIT,ECSIT,7.0504327
CCL3,CCL3,6.308726
CTB-129P6.11,CTB-129P6.11,5.0902777
CTD-2349B8.1,CTD-2349B8.1,6.1303034
ERLEC1,ERLEC1,5.5122595
ZNF256,ZNF256,6.190909
HOXB5,HOXB5,6.1433177
RMND1,RMND1,6.2761455
ESYT1,ESYT1,7.0885115
SLC22A18,SLC22A18,9.22673
SPATA13,SPATA13,8.633626
TTPAL,TTPAL,8.069978
RP11-126K1.2,RP11-126K1.2,4.808988
ZNF250,ZNF250,6.1811676
TKTL1,TKTL1,2.148983
CRLF3,CRLF3,4.590762
PNPLA4,PNPLA4,4.988227
DUSP5,DUSP5,5.134669
PGK1,PGK1,7.768961
RPS16,RPS16,8.886903
AHNAK,AHNAK,6.9793463
C1orf213,C1orf213,2.838775
MAPRE2,MAPRE2,8.169299
PIK3CD,PIK3CD,4.498027
ZNF469,ZNF469,9.113391
CYP51A1,CYP51A1,7.278583
MRPL14,MRPL14,6.3600388
AMDHD1,AMDHD1,5.3165965
FTSJ3,FTSJ3,7.0756516
C19orf33,C19orf33,7.3332167
HDHD3,HDHD3,5.223117
LINC00632,LINC00632,3.2723653
C5orf49,C5orf49,12.485574
CXCL2,CXCL2,11.477512
MTERFD3,MTERFD3,5.8052225
THSD4,THSD4,3.7917702
PRSS27,PRSS27,6.1877217
SLC35F5,SLC35F5,6.6688857
PMAIP1,PMAIP1,10.56955
KDM1A,KDM1A,8.241529
HTATSF1,HTATSF1,6.7586513
HTRA2,HTRA2,5.429673
EHD1,EHD1,8.53663
LGALS7,LGALS7,7.1120477
JUP,JUP,7.265234
PHACTR1,PHACTR1,5.7420754
SGK1,SGK1,6.705365
ZNF799,ZNF799,2.8884695
SEC13,SEC13,6.999178
FAM107A,FAM107A,4.9032054
SMCO1,SMCO1,0.6129524
CXXC1,CXXC1,7.5855813
CXorf48,CXorf48,0.33027712
CXCL16,CXCL16,7.7104287
ZNF586,ZNF586,4.7299895
ADH6,ADH6,6.91758
SYCP3,SYCP3,3.600531
TAS2R20,TAS2R20,1.3650448
SPG11,SPG11,5.2617035
MIS18BP1,MIS18BP1,7.5667825
HIST3H3,HIST3H3,5.9656177
WBP1L,WBP1L,8.840028
POLR2H,POLR2H,7.494456
PFKL,PFKL,6.8048077
HOXD13,HOXD13,8.467416
ULBP2,ULBP2,7.6142173
GRIP1,GRIP1,9.763049
SDC4,SDC4,7.8181143
KIAA1614,KIAA1614,9.88373
MAP4,MAP4,7.2079716
CABP4,CABP4,7.4474196
FADS3,FADS3,7.4154725
NKG2-E,NKG2-E,7.9536495
CEP19,CEP19,5.230815
SENP7,SENP7,5.6769
N4BP1,N4BP1,8.503211
OLAH,OLAH,3.8013213
GPX2,GPX2,6.987823
RP13-996F3.5,RP13-996F3.5,1.0504254
TTLL1,TTLL1,10.910355
SMPD1,SMPD1,6.440943
STX10,STX10,7.8940225
ARAP3,ARAP3,4.032452
JUN,JUN,7.0779877
ZSCAN5D,ZSCAN5D,0.2363892
CCDC88C,CCDC88C,6.203749
EPGN,EPGN,7.557639
CDK11A,CDK11A,5.0760517
AC006538.4,AC006538.4,9.452396
XPNPEP3,XPNPEP3,6.206759
PRICKLE3,PRICKLE3,4.845451
FAM200A,FAM200A,4.4128284
LRP10,LRP10,6.775347
PRKACB,PRKACB,5.992241
AC007956.1,AC007956.1,4.577411
VBP1,VBP1,6.482641
TGM4,TGM4,14.172172
THOC3,THOC3,6.0229144
DLEU1,DLEU1,5.796536
FBXL20,FBXL20,7.687466
PCYOX1,PCYOX1,5.774867
ZFPL1,ZFPL1,7.5241394
DDAH2,DDAH2,5.424128
ACTN1,ACTN1,7.3737307
IL18R1,IL18R1,10.5773325
WNK2,WNK2,5.6233044
CPOX,CPOX,6.1380067
UBE3B,UBE3B,4.9389343
ZNRF3,ZNRF3,3.7857668
ANGEL2,ANGEL2,4.574384
SCGB3A1,SCGB3A1,2.8347595
PPAP2A,PPAP2A,9.482116
PSMG1,PSMG1,7.4441977
DHX15,DHX15,8.624251
AC140481.2,AC140481.2,4.0217237
PRSS36,PRSS36,6.9883056
FAM175A,FAM175A,9.996372
HOXB8,HOXB8,5.1717057
ADCY5,ADCY5,13.203512
GPRC5A,GPRC5A,7.673375
FAM135B,FAM135B,9.702905
CD36,CD36,5.678516
CXorf40B,CXorf40B,7.979217
TMEM252,TMEM252,0.37027016
DMP1,DMP1,3.6054673
TGM1,TGM1,7.6172
HTR2B,HTR2B,1.2601013
LRRC8E,LRRC8E,5.646733
LEF1,LEF1,8.478658
TMEM164,TMEM164,6.026007
CLEC1B,CLEC1B,6.394142
BTG2,BTG2,8.921376
DOCK8,DOCK8,10.11588
DNAJB2,DNAJB2,6.798269
CCDC93,CCDC93,6.564594
RFWD2,RFWD2,6.6856823
RPL10,RPL10,9.283556
IKZF5,IKZF5,6.7455716
C9orf139,C9orf139,8.00874
SPEG,SPEG,9.55711
CCDC155,CCDC155,0.67310065
ACVR2B,ACVR2B,2.7061727
NDUFB1,NDUFB1,7.066806
ETV7,ETV7,9.682209
SHC2,SHC2,5.21727
NHLRC3,NHLRC3,4.139558
PDGFRL,PDGFRL,6.9495926
YAP1,YAP1,7.4970026
ACTL8,ACTL8,2.665334
KLK2,KLK2,1.0198836
PGBD2,PGBD2,11.67337
C1orf134,C1orf134,1.4695672
GALNT10,GALNT10,4.9255414
LIN7B,LIN7B,8.461631
C4orf29,C4orf29,5.6551657
TMEM170A,TMEM170A,4.3527575
LGMN,LGMN,7.435881
CCDC116,CCDC116,4.722417
AFM,AFM,5.6299863
SYPL1,SYPL1,7.8227005
FANCE,FANCE,7.3248234
TOR1B,TOR1B,6.270224
TMEM115,TMEM115,5.2716923
MAGEB1,MAGEB1,0.26819742
SLURP1,SLURP1,6.2214813
RNF151,RNF151,3.8409526
CA6,CA6,0.802779
GAS2,GAS2,1.0442218
AL136115.1,AL136115.1,2.3763564
HNRNPH1,HNRNPH1,8.268668
CIB3,CIB3,6.4239254
TSNAX-DISC1,TSNAX-DISC1,1.296606
PTGDR2,PTGDR2,3.7455332
RDH8,RDH8,3.2218812
ASXL3,ASXL3,7.1132007
BCAS3,BCAS3,9.471442
NOS1AP,NOS1AP,7.5625544
CCNK,CCNK,5.6203027
RBM10,RBM10,6.518386
PDE4B,PDE4B,5.2221856
ZNF736,ZNF736,2.7489645
NT5E,NT5E,4.8212523
DAB1,DAB1,14.397737
JOSD1,JOSD1,6.270835
NF1,NF1,9.227474
DLL1,DLL1,7.918842
FPGS,FPGS,5.760461
MND1,MND1,5.4539504
SOX1,SOX1,4.5522556
GIMAP5,GIMAP5,4.5570374
MVB12B,MVB12B,3.9358172
CYP11B1,CYP11B1,2.30677
ZNF367,ZNF367,9.095856
LYRM9,LYRM9,4.6813173
TADA1,TADA1,6.0947084
RFX1,RFX1,9.258107
CCDC171,CCDC171,3.7492104
GGACT,GGACT,8.514111
AC010547.9,AC010547.9,7.377908
SLC14A1,SLC14A1,4.4443383
RNPEPL1,RNPEPL1,6.6909714
FZD9,FZD9,13.494238
INTS8,INTS8,6.880908
MYF5,MYF5,5.2416053
TMCO4,TMCO4,7.693262
CD5L,CD5L,5.3856344
STXBP6,STXBP6,6.24165
DTNBP1,DTNBP1,10.55789
ARIH1,ARIH1,6.804259
ACPL2,ACPL2,6.6672306
GAB2,GAB2,7.2245717
AC104057.1,AC104057.1,6.783946
PATZ1,PATZ1,4.6319804
PSMG2,PSMG2,7.2273936
IPP,IPP,4.004155
NCOA2,NCOA2,4.860272
PSEN2,PSEN2,5.2572927
P4HA2,P4HA2,6.0574493
PTTG1IP,PTTG1IP,7.220979
FAM69B,FAM69B,7.5586376
PDGFA,PDGFA,4.9605646
TNFSF15,TNFSF15,5.507719
SLCO1C1,SLCO1C1,8.170966
KLC4,KLC4,6.118249
COX18,COX18,4.258201
APOBEC3A,APOBEC3A,9.643967
SMIM11,SMIM11,4.9071794
CAPNS2,CAPNS2,4.8773255
VPS33A,VPS33A,7.922834
CDKL5,CDKL5,12.56088
ZNF277,ZNF277,6.2842007
LLGL2,LLGL2,8.526465
GNAQ,GNAQ,7.74195
HRCT1,HRCT1,4.1288342
MFSD6,MFSD6,9.687687
ALKBH6,ALKBH6,6.6758122
RSU1,RSU1,7.090621
PDE2A,PDE2A,8.631002
DIO2,DIO2,9.101116
PSMC2,PSMC2,7.969299
PIK3IP1,PIK3IP1,5.1342564
LZTR1,LZTR1,7.2346907
FBXO48,FBXO48,5.1744328
ANKS1B,ANKS1B,5.1916676
NUP205,NUP205,7.8334336
C6orf57,C6orf57,8.104633
DESI2,DESI2,7.6445994
KLHL7,KLHL7,10.180285
ITIH5,ITIH5,8.296473
RPN1,RPN1,7.7834125
MRO,MRO,5.7868342
SLC8A3,SLC8A3,3.6770968
CRTC3,CRTC3,4.5703473
AC002472.13,AC002472.13,4.3736787
SLC9A7,SLC9A7,7.591264
LPPR3,LPPR3,0.62379074
MRP63,MRP63,8.084887
ZNF648,ZNF648,11.969916
RPL15,RPL15,7.8622484
MRPS24,MRPS24,7.331481
EPHA8,EPHA8,9.179896
RFC4,RFC4,5.552649
PRKAR2B,PRKAR2B,2.8903472
C7orf49,C7orf49,7.6593637
ZDHHC13,ZDHHC13,10.469932
TBATA,TBATA,15.288949
ALPPL2,ALPPL2,14.849963
COL6A3,COL6A3,7.946309
LRRIQ3,LRRIQ3,4.4464335
TMEM235,TMEM235,4.549589
FIBIN,FIBIN,4.5428233
RLN3,RLN3,0.6788572
KCNC3,KCNC3,8.239367
TMEM143,TMEM143,7.335222
RBM38,RBM38,8.151616
ST6GALNAC3,ST6GALNAC3,1.7952267
AP3B2,AP3B2,4.478671
MTMR12,MTMR12,4.90265
CAMK1,CAMK1,7.941463
CCDC67,CCDC67,9.977744
C3orf62,C3orf62,6.537874
RAD54L,RAD54L,4.348277
PAGE2,PAGE2,3.3874614
FANCA,FANCA,9.639968
NXPH2,NXPH2,7.064919
SNAPC3,SNAPC3,5.94078
CCDC64,CCDC64,4.5539093
PAPOLG,PAPOLG,8.77048
MT1B,MT1B,2.2134895
CHRND,CHRND,1.5064274
PIBF1,PIBF1,4.3087955
DTWD1,DTWD1,6.3639503
EMC8,EMC8,10.170939
SLC19A3,SLC19A3,4.602694
MTG2,MTG2,9.935271
TEKT3,TEKT3,6.085793
GABARAPL1,GABARAPL1,6.1723456
CEP170,CEP170,5.1091356
PALMD,PALMD,5.7733374
FAU,FAU,7.938621
WDR90,WDR90,5.0679464
STEAP1,STEAP1,7.5501113
RHBDD2,RHBDD2,7.9516
SPATA2,SPATA2,4.321508
ZCCHC18,ZCCHC18,4.9858923
LCP2,LCP2,5.7483974
RAD51AP1,RAD51AP1,5.2561884
ZNRD1,ZNRD1,5.6101093
TEX2,TEX2,5.7983723
EMP3,EMP3,7.653398
SBSPON,SBSPON,2.1274614
F12,F12,4.9030643
CEACAM4,CEACAM4,8.579106
PLCL1,PLCL1,9.196406
CACNA2D1,CACNA2D1,7.5940337
SLC9A8,SLC9A8,6.089264
TMPRSS2,TMPRSS2,5.8009596
MRGPRG,MRGPRG,5.5258183
STK40,STK40,5.2137637
TRDN,TRDN,7.2854633
TMEM241,TMEM241,4.281626
FAM120AOS,FAM120AOS,5.4421487
CCDC7,CCDC7,11.518768
EEPD1,EEPD1,6.271286
RAP2A,RAP2A,6.050622
PIP4K2C,PIP4K2C,6.0685077
RASD2,RASD2,12.305263
SMAD3,SMAD3,6.4646664
ERAL1,ERAL1,7.9220157
TFAP2E,TFAP2E,8.205381
MEF2A,MEF2A,6.055435
PKIA,PKIA,3.3896587
TM9SF3,TM9SF3,8.102799
ECM1,ECM1,6.5413117
CCDC41,CCDC41,7.1795955
AC096677.1,AC096677.1,2.4590874
WBSCR16,WBSCR16,9.092838
C1QTNF2,C1QTNF2,7.757894
RP11-618P17.4,RP11-618P17.4,1.0226789
SLC4A8,SLC4A8,2.2802136
NCDN,NCDN,7.284368
ARRDC4,ARRDC4,6.311427
NLGN2,NLGN2,4.408961
ZNF280A,ZNF280A,8.402685
DYX1C1,DYX1C1,2.7737045
GAR1,GAR1,6.1503396
ATP2C1,ATP2C1,7.456244
HIST2H2AA3,HIST2H2AA3,8.118055
ERH,ERH,6.662578
LILRA5,LILRA5,8.295967
EMILIN1,EMILIN1,5.048192
SOX21,SOX21,5.349311
C21orf128,C21orf128,0.2789767
HLCS,HLCS,9.208722
RP4-583P15.15,RP4-583P15.15,3.7481396
ADSL,ADSL,7.4580817
ABCA3,ABCA3,7.3034115
ANKRD9,ANKRD9,7.2931542
CELA1,CELA1,12.04823
CDK7,CDK7,6.551742
NAPG,NAPG,7.181084
NUP155,NUP155,6.261723
TPM1,TPM1,8.470305
HPS6,HPS6,8.979208
ROBO2,ROBO2,1.8870867
PIM1,PIM1,5.7650986
HBB,HBB,10.41991
KCTD18,KCTD18,6.2282
NDUFS4,NDUFS4,6.6330695
NUDT3,NUDT3,6.328232
PCID2,PCID2,7.2000346
CPD,CPD,8.239422
UBE2Q2,UBE2Q2,6.578103
C16orf98,C16orf98,7.051067
VCX3B,VCX3B,0.83816487
SPDYC,SPDYC,4.6866865
MMP11,MMP11,5.8990774
ZNF446,ZNF446,7.2468195
ABCA7,ABCA7,4.3867936
FZR1,FZR1,5.5625186
CLDN20,CLDN20,7.7121973
USP46,USP46,4.3183165
ADAMTS6,ADAMTS6,4.4824553
MAD1L1,MAD1L1,6.274727
RNF180,RNF180,4.7202373
CRMP1,CRMP1,9.448617
CCDC175,CCDC175,15.298502
CFDP1,CFDP1,6.0048313
ARSE,ARSE,5.241548
RP11-219B4.6,RP11-219B4.6,0.013578604
NECAB1,NECAB1,9.772054
DCTN1,DCTN1,7.2861915
RAB8A,RAB8A,5.807296
ZNF324,ZNF324,7.2932706
FN3K,FN3K,6.2912436
ODC1,ODC1,6.617731
MUC1,MUC1,6.913528
PER1,PER1,8.710678
TEX10,TEX10,8.670689
GCSH,GCSH,5.2653785
TRAPPC2,TRAPPC2,4.0693154
AC079210.1,AC079210.1,1.043803
SSBP1,SSBP1,8.130111
PPIF,PPIF,8.027203
MRPS36,MRPS36,7.4180093
MST1,MST1,3.5673187
TDP1,TDP1,7.487575
LRIG1,LRIG1,6.2074428
BAG6,BAG6,7.2172165
RRP9,RRP9,6.4579787
SEC14L3,SEC14L3,10.976521
GPR35,GPR35,12.789229
CD320,CD320,5.308176
CNN1,CNN1,5.4280014
C1orf65,C1orf65,2.139445
PLAC1,PLAC1,3.0286624
MYCBPAP,MYCBPAP,8.077919
DICER1,DICER1,6.789914
TNKS,TNKS,10.675936
ARNTL2,ARNTL2,5.4175496
NARFL,NARFL,6.3632026
PPP4R1,PPP4R1,6.3373275
SLC9C1,SLC9C1,0.37347668
SND1,SND1,7.447729
COMMD9,COMMD9,7.7268167
PI3,PI3,7.8651133
CADPS2,CADPS2,3.731907
PABPC1,PABPC1,7.5462203
NR1H2,NR1H2,5.969382
KDM8,KDM8,12.059769
SDCBP,SDCBP,8.978512
LOXL4,LOXL4,5.877174
HOXC4,HOXC4,4.4249353
SLC22A15,SLC22A15,8.117878
CHST15,CHST15,9.56137
ZNF181,ZNF181,5.578029
ZXDB,ZXDB,4.5005674
TCOF1,TCOF1,6.883132
IL27,IL27,3.9979384
FRS2,FRS2,7.2520795
PPP1R12C,PPP1R12C,5.7023363
TNRC6B,TNRC6B,5.546596
SYNGR1,SYNGR1,6.182655
KCNK17,KCNK17,3.895284
PPP4C,PPP4C,7.494
CLEC4A,CLEC4A,11.809343
SPATA3,SPATA3,1.8341466
GAREML,GAREML,6.1977873
PCDHB16,PCDHB16,5.2895536
ANKDD1A,ANKDD1A,3.7358744
PHF17,PHF17,9.690135
SLC41A3,SLC41A3,5.7818775
TTC29,TTC29,0.48254603
NBEAL1,NBEAL1,3.5154955
NKG7,NKG7,4.455229
LCE2C,LCE2C,11.615629
IL2RA,IL2RA,7.6106133
PARD3B,PARD3B,2.5042348
SBP1,SBP1,5.651123
FAHD2B,FAHD2B,4.3639464
GRAMD2,GRAMD2,3.9541686
FAM170A,FAM170A,0.24704354
CNGB1,CNGB1,7.516943
C6,C6,1.8019071
MFAP1,MFAP1,7.0661883
PCYT1B,PCYT1B,4.717577
SLIT2,SLIT2,5.427932
EPB41L2,EPB41L2,4.721693
MRPS16,MRPS16,6.917418
GPR148,GPR148,0.06167995
ZC3H12B,ZC3H12B,0.98058987
CYP11A1,CYP11A1,10.975911
NTF3,NTF3,9.531993
ACOX3,ACOX3,7.251904
EPN1,EPN1,7.6714644
BBS7,BBS7,5.303703
AUTS2,AUTS2,4.81653
ACP2,ACP2,6.3974714
FAM210B,FAM210B,5.530579
SAYSD1,SAYSD1,5.8700385
KIAA1024,KIAA1024,1.5597558
LSM2,LSM2,6.9949923
IQCE,IQCE,4.950734
ZBTB2,ZBTB2,4.4055724
COPE,COPE,7.6629586
PTCHD2,PTCHD2,1.330702
NR2F6,NR2F6,7.736207
ADORA3,ADORA3,7.4887424
PSMF1,PSMF1,7.4737134
KL,KL,1.4453313
SYAP1,SYAP1,4.774463
GOLT1A,GOLT1A,6.21744
HPR,HPR,6.7808375
PDIA6,PDIA6,8.015009
ARHGEF9,ARHGEF9,11.788831
TEX101,TEX101,2.9617398
NEXN,NEXN,6.2603507
SASH3,SASH3,9.871969
TMEM44,TMEM44,4.8441358
POLR2K,POLR2K,6.647388
GPIHBP1,GPIHBP1,1.5480906
SLC25A19,SLC25A19,6.0452976
UFSP2,UFSP2,7.212228
TERT,TERT,2.1701648
VAX1,VAX1,3.7392824
ATRNL1,ATRNL1,13.891529
OTUD6A,OTUD6A,4.9753733
ANXA13,ANXA13,3.2978852
MXD4,MXD4,5.163445
ESR2,ESR2,1.7335933
PDSS1,PDSS1,4.1859226
INCENP,INCENP,7.725862
SHROOM3,SHROOM3,3.308294
GABRA1,GABRA1,10.075088
HSPA13,HSPA13,8.523264
KDM2A,KDM2A,6.461081
TGFB2,TGFB2,4.47578
KCNK3,KCNK3,3.1741834
DPPA3,DPPA3,1.5736566
ACTR10,ACTR10,6.489958
ARHGAP10,ARHGAP10,5.596982
CD2,CD2,7.049387
TRIM8,TRIM8,7.671277
MRM1,MRM1,3.872421
IFT81,IFT81,7.835023
RPS19BP1,RPS19BP1,9.11707
CTD-2207O23.12,CTD-2207O23.12,2.2746825
SLTM,SLTM,8.524786
RAB26,RAB26,2.8585315
MUCL1,MUCL1,3.6507578
DLAT,DLAT,7.1851597
PTF1A,PTF1A,5.789019
WDR75,WDR75,7.8751593
C3AR1,C3AR1,5.1791897
GALR2,GALR2,5.62431
WIPF1,WIPF1,6.2720246
CHERP,CHERP,7.347653
ZNF622,ZNF622,5.403954
GRIA2,GRIA2,9.337172
IL12RB2,IL12RB2,5.1075926
PHF16,PHF16,4.3778353
MIS12,MIS12,5.899587
WFDC2,WFDC2,5.766294
WBP11,WBP11,7.3990765
KNCN,KNCN,13.224753
TBC1D9,TBC1D9,7.0365815
MARS,MARS,7.9176507
TUBA4A,TUBA4A,7.6473813
NCF1,NCF1,11.307291
RP11-321F6.1,RP11-321F6.1,5.1394506
TPK1,TPK1,11.653776
SLC44A3,SLC44A3,3.677236
ZSWIM1,ZSWIM1,6.971331
PPT1,PPT1,6.1799836
ZNF846,ZNF846,10.823574
MAP3K7CL,MAP3K7CL,6.0096054
TMEM230,TMEM230,6.1752515
C2orf61,C2orf61,3.040834
F8A3,F8A3,8.511029
ZRANB2,ZRANB2,8.773276
GRIK4,GRIK4,7.236621
DYNLT1,DYNLT1,6.715024
AL035252.1,AL035252.1,4.881228
JDP2,JDP2,7.9808087
EXOC6B,EXOC6B,4.940752
TBC1D16,TBC1D16,6.189254
CSAG1,CSAG1,5.0603952
GOLGA7,GOLGA7,6.3243947
KLHL22,KLHL22,8.133776
GCLC,GCLC,7.8507113
RPL41,RPL41,7.871655
LYPD1,LYPD1,8.031176
VCX,VCX,0.76250196
HRNR,HRNR,2.401426
FBXO8,FBXO8,4.696942
SUSD2,SUSD2,4.393182
TP53I3,TP53I3,5.1444454
MXRA7,MXRA7,7.5233374
ELK3,ELK3,6.4547033
UQCRFS1,UQCRFS1,7.0690937
CCDC79,CCDC79,0.17455702
NUBP1,NUBP1,8.01874
ZNF451,ZNF451,6.6620398
RAG2,RAG2,14.74397
GPALPP1,GPALPP1,4.809641
C1orf141,C1orf141,5.1118712
ADRA1A,ADRA1A,7.869165
MMP21,MMP21,0.7924137
APOL2,APOL2,6.08717
SMG5,SMG5,6.194798
ZNF573,ZNF573,4.6820774
SCIMP,SCIMP,6.3848004
PAX6,PAX6,7.6390824
DND1,DND1,1.0790708
SPEF1,SPEF1,5.7514696
EXO1,EXO1,8.226454
ZNF263,ZNF263,8.216086
CCDC13,CCDC13,6.743868
NCKAP5L,NCKAP5L,4.314613
NICN1,NICN1,3.7016788
PIK3C2B,PIK3C2B,4.0324283
QSER1,QSER1,6.859948
ADORA2A,ADORA2A,3.2887485
P4HA3,P4HA3,7.4315963
GOLGA8Q,GOLGA8Q,10.72262
PRDX1,PRDX1,7.923463
PLCH2,PLCH2,6.959487
CHAF1B,CHAF1B,6.050094
TMEM165,TMEM165,6.109237
COX6C,COX6C,7.631797
BUD13,BUD13,7.8026624
CASC10,CASC10,7.05409
HSD17B11,HSD17B11,5.7150784
MUS81,MUS81,6.989271
PHGR1,PHGR1,0.31019792
CYP24A1,CYP24A1,9.311361
C12orf5,C12orf5,7.8176694
PODNL1,PODNL1,7.008249
ERICH2,ERICH2,6.3953204
C15orf37,C15orf37,1.9375494
RP11-1055B8.6,RP11-1055B8.6,3.4542036
BMP8A,BMP8A,4.6641874
FAM105A,FAM105A,3.4864626
